#Elapsed Time (secs),Bytes Received,Requests Serviced, Requests Failed, Comment
   0.30358,       1034,          0,          0, (null)
   0.31585,       1034,          1,          0, /courses/ud923/filecorpus/1kb-sample-file-1.html
   0.57364,       2107,          1,          0, (null)
   0.57679,       2107,          2,          0, /courses/ud923/filecorpus/1kb-sample-file-2.png
   0.86276,       3402,          2,          0, (null)
   0.86674,       3402,          3,          0, /courses/ud923/filecorpus/1kb-sample-file-3.jpg
   1.39289,       4675,          3,          0, (null)
   1.40081,       4675,          4,          0, /courses/ud923/filecorpus/1kb-sample-file-4.png
   2.48107,       8752,          4,          0, (null)
   2.48134,      12848,          4,          0, (null)
   2.48142,      16944,          4,          0, (null)
   2.48147,      21040,          4,          0, (null)
   2.48149,      25136,          4,          0, (null)
   2.48149,      29232,          4,          0, (null)
   2.48150,      33328,          4,          0, (null)
   2.48150,      37424,          4,          0, (null)
   2.48151,      41520,          4,          0, (null)
   2.48151,      45616,          4,          0, (null)
   2.48152,      49712,          4,          0, (null)
   2.48153,      53808,          4,          0, (null)
   2.48153,      57904,          4,          0, (null)
   2.48154,      62000,          4,          0, (null)
   2.48154,      66096,          4,          0, (null)
   2.48155,      70192,          4,          0, (null)
   2.48155,      74288,          4,          0, (null)
   2.48156,      78384,          4,          0, (null)
   2.48156,      82480,          4,          0, (null)
   2.48157,      86576,          4,          0, (null)
   2.48158,      90672,          4,          0, (null)
   2.48158,      94768,          4,          0, (null)
   2.48159,      98864,          4,          0, (null)
   2.48159,     102960,          4,          0, (null)
   2.48160,     107056,          4,          0, (null)
   2.48160,     111152,          4,          0, (null)
   2.48161,     115248,          4,          0, (null)
   2.48162,     119344,          4,          0, (null)
   2.48162,     123440,          4,          0, (null)
   2.48163,     127536,          4,          0, (null)
   2.48163,     131632,          4,          0, (null)
   2.48164,     135728,          4,          0, (null)
   2.48164,     139824,          4,          0, (null)
   2.48165,     143920,          4,          0, (null)
   2.48165,     148016,          4,          0, (null)
   2.48166,     152112,          4,          0, (null)
   2.48166,     156208,          4,          0, (null)
